,village,layout,price,area,year,orientation,floor,trim,elevator,LATB,LNGB,spebuding_num
629,上海滩公馆,3室 2厅 2卫,17002 元/m²,129.4平方米,2007年,南北,高层(共28层),简单装修,有,22.816074,108.33681599999998,3
630,汇金苑,3室 2厅 1卫,13254 元/m²,98.1平方米,2010年,南,中层(共31层),精装修,有,22.8169,108.369755,13
631,凤岭山语城,4室 2厅 2卫,16346 元/m²,164平方米,2012年,南,低层(共6层),精装修,有,22.826704,108.420771,3
632,南湖国际广场,3室 2厅 2卫,21735 元/m²,110.4平方米,2010年,南,低层(共30层),精装修,有,22.831847,108.373952,13
633,凤岭山语城,5室 3厅 4卫,19421 元/m²,221.4平方米,2010年,南,共5层,精装修,有,22.826704,108.420771,3
634,民发大观天下,3室 2厅 2卫,12201 元/m²,98.4平方米,2017年,南,中层(共32层),精装修,有,22.783749,108.350255,0
635,利海亚洲国际,1室 0厅 1卫,16544 元/m²,39.3平方米,2010年,南,中层(共30层),精装修,有,22.815775,108.404909,6
636,佳盛广场,2室 2厅 2卫,13333 元/m²,60平方米,2015年,西北,中层(共32层),精装修,有,22.828251,108.37789199999999,12
637,利海亚洲国际,1室 0厅 1卫,18193 元/m²,33平方米,2011年,南,高层(共30层),精装修,有,22.815775,108.404909,6
638,联发君澜(商住楼),2室 2厅 1卫,9200 元/m²,50平方米,2018年,南北,中层(共32层),精装修,有,22.849232,108.38906599999999,0
639,华凯逸悦豪庭(二期),4室 2厅 2卫,13866 元/m²,119平方米,2015年,南,中层(共32层),精装修,有,22.822528,108.429874,3
640,好运公寓,3室 2厅 1卫,14317 元/m²,95平方米,1999年,南,中层(共9层),精装修,无,22.821752,108.34556299999998,3
641,保利领秀前城,3室 2厅 1卫,13415 元/m²,82平方米,2017年,南北,中层(共32层),精装修,有,22.800504,108.429898,0
642,莱茵湖畔,6室 2厅 4卫,12372 元/m²,223.9平方米,2012年,南北,高层(共11层),毛坯,有,22.815013,108.42233600000002,3
643,利海亚洲国际,1室 0厅 1卫,17422 元/m²,37.3平方米,2010年,北,高层(共22层),简单装修,有,22.815775,108.404909,6
644,城市印象,3室 2厅 2卫,11632 元/m²,92.9平方米,2012年,东南,中层(共30层),精装修,有,22.828711,108.387401,12
645,荣和山水美地4组团微笑湾,4室 2厅 2卫,18140 元/m²,165.4平方米,2012年,南北,低层(共7层),精装修,有,22.823299,108.411173,5
646,美泉1612,2室 2厅 2卫,17950 元/m²,88平方米,2014年,南北,中层(共25层),精装修,有,22.832010999999998,108.42238799999998,4
647,凤岭名园,2室 2厅 2卫,13901 元/m²,89.9平方米,2014年,南北,高层(共11层),精装修,有,22.832666,108.42608500000001,4
648,蓝山上城,3室 2厅 2卫,16319 元/m²,107.9平方米,2013年,南,中层(共17层),精装修,有,22.825645,108.39133600000001,11
649,华发国宾壹号,4室 2厅 2卫,16906 元/m²,139平方米,2015年,南,中层(共32层),毛坯,有,22.779951999999998,108.357897,0
650,莱茵湖畔,3室 2厅 1卫,14504 元/m²,87.6平方米,2012年,南,低层(共18层),精装修,有,22.815013,108.42233600000002,3
651,龙凤首缘,3室 2厅 1卫,10345 元/m²,87平方米,2014年,南,高层(共26层),精装修,有,22.808537,108.44651200000001,0
652,荣和东盟国际,3室 2厅 2卫,14091 元/m²,110平方米,2008年,南,高层(共28层),毛坯,有,22.819644,108.40705200000001,5
653,万正鸣翠谷,3室 2厅 2卫,11714 元/m²,139.2平方米,2010年,南北,中层(共11层),精装修,有,22.824421,108.424549,3
654,凤岭名园,4室 2厅 2卫,13208 元/m²,149.2平方米,2010年,南,高层(共18层),精装修,有,22.832666,108.42608500000001,4
655,绿地中央广场(商住楼),2室 2厅 2卫,16200 元/m²,50平方米,2019年,南北,低层(共25层),毛坯,有,22.839148,108.380439,9
656,荣和公园大道,3室 2厅 2卫,17855 元/m²,88.8平方米,2017年,东南,中层(共32层),精装修,有,22.835281,108.41388899999998,4
657,荣和公园悦府,4室 2厅 2卫,21678 元/m²,143平方米,2015年,南,中层(共32层),豪华装修,有,22.834139,108.40633999999999,1
658,保利领秀前城,4室 2厅 2卫,13596 元/m²,114平方米,2018年,南,中层(共33层),精装修,有,22.800504,108.429898,0
659,21时代公寓,1室 0厅 1卫,14876 元/m²,42.4平方米,2005年,南,中层(共23层),精装修,有,22.818305,108.32709399999999,5
660,彰泰凤岭江湾,3室 2厅 2卫,12066 元/m²,90.3平方米,2018年,南,低层(共28层),精装修,有,22.797567,108.45443,0
661,荣和千千树,4室 2厅 2卫,16867 元/m²,109.7平方米,2016年,南,高层(共43层),毛坯,有,22.838343,108.40248799999999,0
662,荣和公园大道,4室 2厅 2卫,17684 元/m²,130.6平方米,2017年,南,高层(共30层),精装修,有,22.835281,108.41388899999998,4
663,吉祥凤景湾,3室 2厅 2卫,14623 元/m²,82.1平方米,2018年,南,低层(共33层),精装修,有,22.834309,108.4194,4
664,美泉1612,4室 2厅 2卫,18174 元/m²,134.8平方米,2015年,南,低层(共32层),精装修,有,22.832010999999998,108.42238799999998,4
665,汇东郦城,3室 2厅 1卫,13150 元/m²,79.9平方米,2010年,南,中层(共18层),精装修,有,22.815324,108.424916,3
666,华发国宾壹号,4室 2厅 2卫,16504 元/m²,113平方米,2015年,南,低层(共32层),精装修,有,22.779951999999998,108.357897,0
667,半岛半山,4室 2厅 2卫,12505 元/m²,151.9平方米,2011年,南北,低层(共31层),精装修,有,22.78276,108.343934,0
668,天池山,3室 2厅 2卫,7781 元/m²,92.5平方米,2017年,南北,中层(共29层),精装修,有,22.816853,108.466943,0
669,荣和悦澜山,3室 2厅 2卫,14140 元/m²,91.9平方米,2019年,南,中层(共32层),精装修,有,22.849897,108.38661599999999,0
670,荣和公园大道,4室 2厅 2卫,21605 元/m²,143平方米,2017年,南,中层(共39层),精装修,有,22.835281,108.41388899999998,4
671,莱茵湖畔,3室 2厅 2卫,13100 元/m²,84平方米,2016年,南,中层(共28层),精装修,有,22.815013,108.42233600000002,3
672,半岛半山,4室 2厅 2卫,13278 元/m²,135.6平方米,2011年,南北,高层(共32层),精装修,有,22.78276,108.343934,0
673,麒麟山,3室 2厅 2卫,17802 元/m²,91平方米,2010年,南,高层(共31层),精装修,有,22.817148,108.33679099999999,3
674,麒麟山,1室 0厅 1卫,20769 元/m²,39平方米,2009年,南,高层(共31层),精装修,有,22.817148,108.33679099999999,3
675,盛天华府,3室 2厅 2卫,21297 元/m²,85.5平方米,2017年,南,中层(共32层),精装修,有,22.816032,108.40719299999999,5
676,荣和山水美地4组团微笑湾,3室 2厅 2卫,14818 元/m²,81平方米,2012年,南,中层(共32层),精装修,有,22.823299,108.411173,5
677,荣和大地二组团阳光里,3室 2厅 1卫,17417 元/m²,75.8平方米,2013年,南,高层(共11层),精装修,有,22.834937,108.409756,3
678,秀山花园,4室 2厅 2卫,9184 元/m²,147平方米,2009年,南,低层(共6层),精装修,有,22.799885,108.37316499999999,1
679,中房翡翠园(一期),5室 2厅 3卫,12174 元/m²,230平方米,2012年,南,高层(共11层),精装修,有,22.813028,108.419053,4
680,融创九熙府二期,3室 2厅 2卫,9462 元/m²,93平方米,2018年,南北,中层(共34层),精装修,有,22.870734,108.40850400000001,0
681,中铁凤岭国际城,3室 2厅 2卫,11117 元/m²,99.2平方米,2017年,南,中层(共25层),精装修,有,22.798538,108.454328,0
682,丽原天际,1室 0厅 1卫,15111 元/m²,45平方米,2011年,北,中层(共56层),简单装修,有,22.818239000000002,108.33003799999999,4
683,半岛半山,3室 2厅 1卫,12943 元/m²,91.2平方米,2014年,南,高层(共18层),精装修,有,22.78276,108.343934,0
684,汇东郦城,2室 2厅 1卫,13952 元/m²,68.1平方米,2012年,东南,高层(共18层),精装修,有,22.815324,108.424916,3
685,凤岭山语城,5室 3厅 3卫,16400 元/m²,268.3平方米,2012年,南,共1层,简单装修,无,22.826704,108.420771,3
686,凤景湾,4室 2厅 2卫,18290 元/m²,141.1平方米,2013年,南,高层(共30层),毛坯,有,22.827656,108.39511,2
687,云星钱隆天下(南区),6室 2厅 4卫,15908 元/m²,251.5平方米,2011年,南,高层(共19层),精装修,有,22.803805,108.371219,3
688,和美家园,4室 2厅 2卫,10145 元/m²,138平方米,2010年,南,低层(共31层),精装修,有,22.799753,108.35838000000001,1
689,恒龙花园,2室 2厅 1卫,12145 元/m²,94.7平方米,2012年,南,低层(共7层),精装修,无,22.832808,108.365679,14
690,富丽华庭,4室 2厅 2卫,22561 元/m²,164平方米,2005年,南,高层(共11层),豪华装修,有,22.82462,108.374802,13
691,招商雍景湾,4室 2厅 2卫,15947 元/m²,134.8平方米,2017年,南,低层(共37层),毛坯,有,22.788783,108.358534,1
692,桃源路建行宿舍,3室 2厅 1卫,11529 元/m²,85平方米,1993年,南,共5层,简单装修,有,22.80155,108.34123100000001,0
693,荣和悦澜山,4室 2厅 2卫,11670 元/m²,109.7平方米,2018年,南北,低层(共33层),精装修,有,22.849897,108.38661599999999,0
694,耀凯凤岭1号,4室 2厅 2卫,16718 元/m²,122.6平方米,2010年,南北,中层(共25层),精装修,有,22.811902,108.403828,5
695,金龙理想1号,4室 2厅 2卫,11852 元/m²,135平方米,2012年,南,低层(共18层),精装修,有,22.822691,108.42308600000001,3
696,荣和悦澜山,4室 2厅 2卫,15193 元/m²,108.6平方米,2012年,南北,高层(共45层),精装修,有,22.849897,108.38661599999999,0
697,盛天茗城,4室 2厅 2卫,21543 元/m²,147.6平方米,2010年,南北,高层(共20层),精装修,有,22.810623,108.39998700000001,4
698,华发国宾壹号,4室 2厅 2卫,16500 元/m²,140平方米,2015年,南北,中层(共33层),精装修,有,22.779951999999998,108.357897,0
699,汇东郦城,5室 2厅 2卫,13972 元/m²,138.1平方米,2012年,东南,中层(共18层),精装修,有,22.815324,108.424916,3
700,莱茵湖畔,3室 2厅 2卫,15763 元/m²,95.2平方米,2012年,南北,中层(共18层),精装修,有,22.815013,108.42233600000002,3
701,万科城(北区),4室 2厅 2卫,14751 元/m²,126.1平方米,2017年,东南,中层(共34层),精装修,有,22.851182,108.389131,0
702,联发尚品,3室 2厅 2卫,8866 元/m²,97平方米,2012年,南,中层(共11层),精装修,有,22.807747,108.454623,0
703,气象生活小区,3室 2厅 1卫,13551 元/m²,107平方米,1996年,东,中层(共7层),简单装修,无,22.821532,108.355608,12
704,融创九熙府二期,3室 2厅 2卫,12000 元/m²,100平方米,2018年,东南,中层(共30层),精装修,有,22.870734,108.40850400000001,0
705,南湖碧园,4室 2厅 3卫,15162 元/m²,196.6平方米,2008年,南北,高层(共18层),精装修,有,22.831660999999997,108.371141,14
706,凤岭山语城,4室 2厅 2卫,16382 元/m²,111.7平方米,2013年,南,中层(共32层),精装修,有,22.826704,108.420771,3
707,广西地矿大院,4室 2厅 2卫,13782 元/m²,156平方米,2012年,南北,低层(共30层),精装修,有,22.833048,108.350982,5
708,华凯逸悦豪庭(二期),2室 2厅 1卫,13721 元/m²,86平方米,2015年,南,中层(共32层),精装修,有,22.822528,108.429874,3
709,中房翡翠园(一期),4室 2厅 2卫,12498 元/m²,152平方米,2010年,南,高层(共11层),精装修,有,22.813028,108.419053,4
710,青年国际,3室 2厅 2卫,10667 元/m²,90平方米,2018年,南,中层(共32层),精装修,有,22.829857,108.36305800000001,14
711,绿地中央广场(商住楼),1室 2厅 2卫,12931 元/m²,58平方米,2017年,南北,中层(共30层),简单装修,有,22.839148,108.380439,9
712,天池山,4室 2厅 2卫,7325 元/m²,143.4平方米,2012年,南北,中层(共18层),精装修,有,22.816853,108.466943,0
713,莱茵湖畔,2室 2厅 1卫,14423 元/m²,93.6平方米,2012年,东南,低层(共11层),精装修,有,22.815013,108.42233600000002,3
714,凤岭名园,1室 1厅 1卫,12494 元/m²,40平方米,2019年,南北,中层(共23层),毛坯,有,22.832666,108.42608500000001,4
715,彩虹家园,2室 2厅 1卫,7798 元/m²,83.4平方米,2004年,南,低层(共6层),简单装修,无,22.81868,108.45190600000001,0
716,莱茵湖畔,3室 2厅 2卫,14053 元/m²,84平方米,2016年,南,低层(共30层),精装修,有,22.815013,108.42233600000002,3
717,荣和公园大道,4室 2厅 2卫,22025 元/m²,143平方米,2016年,南,共1层,精装修,有,22.835281,108.41388899999998,4
718,泽峰花园,3室 2厅 2卫,15086 元/m²,116平方米,2010年,南北,高层(共7层),精装修,无,22.820987,108.404697,6
719,保利童心缘,4室 2厅 2卫,14896 元/m²,96平方米,2017年,南北,中层(共32层),精装修,有,22.834833,108.417579,4
720,绿地中央广场(商住楼),1室 2厅 2卫,12931 元/m²,58平方米,2017年,南北,中层(共30层),简单装修,有,22.839148,108.380439,9
721,天池山,4室 2厅 2卫,7325 元/m²,143.4平方米,2012年,南北,中层(共18层),精装修,有,22.816853,108.466943,0
722,莱茵湖畔,2室 2厅 1卫,14423 元/m²,93.6平方米,2012年,东南,低层(共11层),精装修,有,22.815013,108.42233600000002,3
723,泽峰花园,3室 2厅 2卫,15086 元/m²,116平方米,2010年,南北,高层(共7层),精装修,无,22.820987,108.404697,6
724,凤岭名园,1室 1厅 1卫,12494 元/m²,40平方米,2019年,南北,中层(共23层),毛坯,有,22.832666,108.42608500000001,4
725,保利童心缘,4室 2厅 2卫,14896 元/m²,96平方米,2017年,南北,中层(共32层),精装修,有,22.834833,108.417579,4
726,彩虹家园,2室 2厅 1卫,7798 元/m²,83.4平方米,2004年,南,低层(共6层),简单装修,无,22.81868,108.45190600000001,0
727,莱茵湖畔,3室 2厅 2卫,15628 元/m²,91.5平方米,2013年,南,低层(共18层),精装修,有,22.815013,108.42233600000002,3
728,汇东郦城,3室 2厅 1卫,14439 元/m²,86.6平方米,2013年,东南,中层(共18层),精装修,有,22.815324,108.424916,3
729,幸福家园,4室 2厅 2卫,9746 元/m²,164.2平方米,2002年,南,中层(共7层),精装修,有,22.829828,108.364199,14
730,中房翡翠园(二期),3室 2厅 2卫,13746 元/m²,81.5平方米,2017年,南北,中层(共33层),精装修,有,22.812494,108.424256,3
731,气象生活小区,3室 2厅 1卫,13942 元/m²,104平方米,1996年,南北,中层(共7层),简单装修,无,22.821532,108.355608,12
732,怡景西湖新天地,1室 0厅 1卫,19683 元/m²,46.7平方米,2008年,南,低层(共30层),精装修,有,22.815397,108.337331,3
733,青年国际,1室 1厅 1卫,11429 元/m²,56平方米,2012年,南,中层(共18层),精装修,有,22.829857,108.36305800000001,14
734,汇东郦城,3室 2厅 1卫,13149 元/m²,91.3平方米,2012年,南,中层(共18层),精装修,有,22.815324,108.424916,3
735,观澜溪谷,2室 2厅 1卫,8821 元/m²,90.7平方米,2010年,南,中层(共18层),精装修,有,22.816399,108.487697,0
736,碧丽山庄,4室 2厅 4卫,13235 元/m²,340平方米,2017年,南,共4层,毛坯,有,22.818391000000002,108.481283,0
737,东盟世纪村,2室 2厅 1卫,11274 元/m²,90.5平方米,2009年,南,低层(共22层),精装修,有,22.784662,108.358369,0
738,南湖碧园,3室 2厅 2卫,15404 元/m²,112.3平方米,2004年,东南,高层(共18层),精装修,有,22.831660999999997,108.371141,14
739,盛天华府,4室 2厅 2卫,21209 元/m²,118.8平方米,2017年,南,中层(共32层),精装修,有,22.816032,108.40719299999999,5
740,竹溪新兴苑北区,3室 2厅 2卫,9524 元/m²,105平方米,1998年,南,中层(共7层),精装修,有,22.798392,108.363845,1
741,新新家园,2室 2厅 1卫,11119 元/m²,83.6平方米,2004年,南,高层(共7层),精装修,无,22.797197,108.359642,1
742,荣和大地二组团阳光里,3室 2厅 2卫,18382 元/m²,89.8平方米,2012年,南,高层(共32层),毛坯,有,22.834937,108.409756,3
743,莱茵湖畔,3室 2厅 2卫,14412 元/m²,117.3平方米,2012年,南北,高层(共11层),精装修,有,22.815013,108.42233600000002,3
744,通发园,5室 2厅 3卫,21608 元/m²,199平方米,2012年,南,共4层,精装修,无,22.803616,108.463453,0
745,维也纳森林,3室 2厅 2卫,13360 元/m²,127.3平方米,2007年,东南,低层(共6层),毛坯,无,22.8288,108.39755600000001,2
746,金地世家南区,2室 2厅 1卫,7727 元/m²,88平方米,2005年,南,高层(共6层),简单装修,无,22.814583,108.45403600000002,0
747,莱茵湖畔,4室 2厅 2卫,12869 元/m²,142.2平方米,2011年,南北,低层(共11层),精装修,有,22.815013,108.42233600000002,3
748,香港花园,3室 2厅 2卫,11746 元/m²,126平方米,2002年,东南,高层(共7层),精装修,无,22.813398,108.375529,13
749,方洲苑,1室 2厅 1卫,13084 元/m²,57.3平方米,2005年,南,高层(共8层),简单装修,无,22.83178,108.365452,14
750,彰泰红,5室 2厅 4卫,14220 元/m²,218平方米,2017年,南北,中层(共28层),豪华装修,有,22.812364000000002,108.428001,3
751,凤岭山语城,4室 2厅 2卫,21127 元/m²,127.8平方米,2013年,南,高层(共32层),精装修,有,22.826704,108.420771,3
752,锦悦青山,4室 2厅 2卫,14444 元/m²,117平方米,2018年,南北,中层(共32层),精装修,有,22.808349,108.36039099999999,3
753,明湖花园,3室 2厅 1卫,10011 元/m²,124.9平方米,2000年,东南,中层(共7层),简单装修,无,22.808434,108.35865700000001,3
754,新华苑小区,4室 2厅 2卫,6762 元/m²,140.5平方米,2010年,南北,中层(共6层),毛坯,无,22.803166,108.51786200000001,0
755,唐樾青山,5室 3厅 3卫,15250 元/m²,196.7平方米,2019年,南,中层(共6层),豪华装修,有,22.805765,108.43096899999999,1
756,南湖公务员住宅小区,4室 2厅 2卫,27143 元/m²,140平方米,2003年,东南,中层(共8层),精装修,有,22.831397,108.37331200000001,13
757,南宁市烟草专卖局公司琅东宿舍区,4室 2厅 2卫,19167 元/m²,120平方米,2000年,南北,低层(共7层),精装修,无,22.823132,108.38268400000001,12
758,望湖苑,4室 2厅 2卫,11758 元/m²,149.7平方米,2008年,南北,低层(共18层),简单装修,有,22.829079999999998,108.36563400000001,14
759,耀凯凤岭1号,4室 2厅 2卫,17942 元/m²,122.6平方米,2016年,南北,低层(共30层),精装修,有,22.811902,108.403828,5
760,莱茵湖畔,3室 2厅 2卫,14251 元/m²,113.7平方米,2010年,南,中层(共18层),精装修,有,22.815013,108.42233600000002,3
761,凤岭山语城,3室 2厅 2卫,21284 元/m²,136.3平方米,2014年,南,高层(共7层),精装修,有,22.826704,108.420771,3
762,南宁琅东电网生活小区,4室 2厅 2卫,17910 元/m²,134平方米,2000年,南北,高层(共6层),精装修,无,22.825917999999998,108.38058000000001,11
763,保利领秀前城,4室 2厅 2卫,12162 元/m²,111平方米,2017年,东南,中层(共30层),精装修,有,22.800504,108.429898,0
764,凤岭名园,4室 2厅 2卫,12037 元/m²,115.5平方米,2018年,南北,中层(共32层),精装修,有,22.832666,108.42608500000001,4
765,湖江公寓,2室 2厅 1卫,12462 元/m²,65平方米,1995年,南北,高层(共7层),简单装修,无,22.803278,108.339054,2
766,观澜溪谷,4室 2厅 2卫,7607 元/m²,117平方米,2013年,南,中层(共19层),精装修,有,22.816399,108.487697,0
767,希尔顿阳光,2室 2厅 1卫,14157 元/m²,79.8平方米,2010年,东北,低层(共28层),精装修,有,22.815089,108.37328400000001,13
768,汇东郦城,3室 2厅 2卫,12156 元/m²,130平方米,2012年,南,高层(共17层),精装修,有,22.815324,108.424916,3
769,天池山,3室 2厅 2卫,7636 元/m²,117.9平方米,2012年,南北,中层(共11层),精装修,有,22.816853,108.466943,0
770,保利21世家,4室 2厅 2卫,17709 元/m²,113.5平方米,2015年,东南,中层(共33层),精装修,有,22.810725,108.40108000000001,5
771,莱茵湖畔,3室 2厅 2卫,14832 元/m²,118平方米,2011年,南北,高层(共18层),精装修,有,22.815013,108.42233600000002,3
772,绿地中央广场(商住楼),1室 1厅 1卫,13000 元/m²,50平方米,2019年,南,高层(共33层),精装修,有,22.839148,108.380439,9
773,汇东郦城,4室 2厅 2卫,12821 元/m²,124.8平方米,2012年,南,中层(共30层),精装修,有,22.815324,108.424916,3
774,区党委大院,2室 2厅 1卫,20833 元/m²,72平方米,1998年,南,低层(共7层),简单装修,无,22.812639,108.33622199999999,4
775,华润置地中山府,4室 2厅 2卫,12200 元/m²,100平方米,2017年,南,中层(共32层),精装修,有,22.813214000000002,108.33007099999999,4
776,长岛800里香江,3室 2厅 1卫,8152 元/m²,92平方米,2010年,南北,中层(共6层),精装修,有,22.81638,108.47086399999999,0
777,荣和公园大道,4室 2厅 2卫,21675 元/m²,143平方米,2017年,南北,中层(共30层),精装修,有,22.835281,108.41388899999998,4
778,荣和中央公园,3室 2厅 2卫,19347 元/m²,111.1平方米,2008年,南,中层(共32层),精装修,有,22.824801,108.344122,4
779,荣和中央公园,3室 2厅 2卫,18897 元/m²,111.1平方米,2012年,南,中层(共31层),精装修,有,22.824801,108.344122,4
780,荣和公园大道,4室 2厅 2卫,21675 元/m²,143平方米,2017年,南北,中层(共30层),精装修,有,22.835281,108.41388899999998,4
781,中天世纪花园,3室 2厅 2卫,12712 元/m²,118平方米,2009年,南,低层(共18层),精装修,有,22.834868,108.36726100000001,13
782,半岛融园,5室 2厅 3卫,10772 元/m²,222.8平方米,2009年,南,高层(共11层),毛坯,有,22.782232,108.346856,0
783,麒麟山,2室 1厅 1卫,19531 元/m²,64平方米,2009年,东,中层(共32层),精装修,有,22.817148,108.33679099999999,3
784,利海亚洲国际,3室 2厅 2卫,15889 元/m²,112.7平方米,2015年,南,高层(共22层),精装修,有,22.815775,108.404909,6
785,海茵国际花城,3室 2厅 2卫,7922 元/m²,118.7平方米,2008年,南,高层(共6层),精装修,有,22.812839999999998,108.468286,0
786,万科城(南区),3室 2厅 2卫,13618 元/m²,89.6平方米,2017年,南北,中层(共25层),精装修,有,22.846691,108.387662,0
787,枫丹丽舍,3室 2厅 2卫,6967 元/m²,126.3平方米,2008年,南北,中层(共6层),精装修,无,22.782025,108.50313799999999,0
788,南湖小区,3室 2厅 1卫,14222 元/m²,90平方米,2000年,南,高层(共7层),精装修,有,22.805698,108.34444599999999,2
789,霖峰一号,3室 2厅 2卫,17414 元/m²,89平方米,2017年,南,低层(共45层),毛坯,有,22.836603,108.40915,2
790,荣和悦澜山,4室 2厅 2卫,13581 元/m²,90.6平方米,2013年,南,中层(共45层),毛坯,有,22.849897,108.38661599999999,0
791,广西壮族自治区测绘地理信息局宿舍,3室 2厅 1卫,15534 元/m²,103平方米,1998年,南,中层(共7层),精装修,有,22.832197,108.34953200000001,4
792,联发君澜(商住楼),1室 1厅 1卫,8846 元/m²,52平方米,2018年,南,低层(共25层),毛坯,有,22.849232,108.38906599999999,0
793,泰国城,3室 2厅 2卫,15587 元/m²,149.5平方米,2007年,南,高层(共6层),精装修,无,22.81315,108.414538,5
794,联发尚品,3室 2厅 2卫,9462 元/m²,93平方米,2011年,东南,低层(共12层),精装修,有,22.807747,108.454623,0
795,东盟中央城(B区),3室 2厅 2卫,17952 元/m²,86.3平方米,2012年,南,低层(共18层),毛坯,有,22.80998,108.405201,5
796,西南石油局南宁葛村路小区,2室 2厅 1卫,16429 元/m²,70平方米,1998年,南北,低层(共9层),精装修,无,22.832577,108.355864,5
797,梦之岛花园,3室 2厅 1卫,13078 元/m²,99.4平方米,2014年,南,中层(共11层),精装修,有,22.810041000000002,108.42733899999999,3
798,龙凤首缘,3室 2厅 1卫,11149 元/m²,87平方米,2012年,南,低层(共26层),精装修,有,22.808537,108.44651200000001,0
799,凤岭名园,4室 2厅 2卫,12989 元/m²,115.5平方米,2017年,南北,高层(共31层),精装修,有,22.832666,108.42608500000001,4
800,龙凤首缘,3室 2厅 1卫,10787 元/m²,89平方米,2014年,东南,低层(共32层),精装修,有,22.808537,108.44651200000001,0
801,文化大院,3室 2厅 2卫,15152 元/m²,99平方米,1998年,南,中层(共8层),精装修,有,22.829226000000002,108.34328700000002,5
802,青山公交公司宿舍,2室 2厅 1卫,9583 元/m²,72平方米,2000年,南北,中层(共6层),精装修,无,22.801835,108.37145500000001,1
803,绿地中央广场,4室 2厅 3卫,23034 元/m²,167.6平方米,2016年,南北,低层(共32层),精装修,有,22.83756,108.37951699999999,12
804,星和园,3室 2厅 2卫,12874 元/m²,134.4平方米,2011年,南北,低层(共19层),精装修,有,22.831597,108.36161499999999,14
805,桂豪花园,1室 1厅 1卫,14130 元/m²,46平方米,2008年,南北,中层(共8层),精装修,无,22.833963,108.36536000000001,14
806,梦之岛花园,3室 2厅 2卫,12706 元/m²,98.4平方米,2017年,南北,中层(共33层),精装修,有,22.810041000000002,108.42733899999999,3
807,保利领秀前城,3室 2厅 2卫,12745 元/m²,90.2平方米,2018年,南北,中层(共30层),精装修,有,22.800504,108.429898,0
808,广源国际社区,3室 2厅 2卫,15429 元/m²,105平方米,2013年,南,中层(共33层),精装修,有,22.807461,108.376775,12
809,保利领秀前城,2室 2厅 2卫,12222 元/m²,90平方米,2019年,南,中层(共33层),精装修,有,22.800504,108.429898,0
810,荣和悦澜山,4室 2厅 2卫,12449 元/m²,108.6平方米,2016年,南,中层(共46层),毛坯,有,22.849897,108.38661599999999,0
811,荣和悦澜山,4室 2厅 2卫,12397 元/m²,110.5平方米,2016年,南,中层(共32层),精装修,有,22.849897,108.38661599999999,0
812,联发君澜,4室 2厅 2卫,13710 元/m²,113.1平方米,2017年,南,低层(共33层),精装修,有,22.849232,108.38906599999999,0
813,荣和千千树,4室 2厅 2卫,14212 元/m²,109.1平方米,2017年,南,低层(共33层),精装修,有,22.838343,108.40248799999999,0
814,龙胤凤凰城,5室 2厅 2卫,10651 元/m²,169平方米,2012年,南北,高层(共30层),毛坯,有,22.805381,108.465103,0
815,竹苑二区,3室 2厅 1卫,13474 元/m²,95平方米,2000年,南北,中层(共7层),精装修,无,22.825974,108.357165,11
816,岭南家园,3室 2厅 2卫,11704 元/m²,135平方米,2008年,南北,高层(共13层),精装修,有,22.837744,108.366731,11
817,耀凯凤岭1号,4室 2厅 2卫,16718 元/m²,122.6平方米,2017年,南,低层(共32层),精装修,有,22.811902,108.403828,5
818,唐樾青山,4室 2厅 2卫,9941 元/m²,112.7平方米,2016年,南,中层(共33层),精装修,有,22.805765,108.43096899999999,1
819,保利领秀前城,4室 2厅 2卫,13496 元/m²,123平方米,2018年,南北,高层(共32层),精装修,有,22.800504,108.429898,0
820,和美家园,4室 2厅 2卫,10725 元/m²,138平方米,2010年,南,高层(共32层),简单装修,有,22.799753,108.35838000000001,1
821,新天地别墅,9室 4厅 5卫,28063 元/m²,320平方米,2012年,南北,中层(共6层),精装修,有,22.824488,108.41826,3
822,彰泰红,5室 2厅 3卫,25482 元/m²,166平方米,2019年,南,低层(共6层),精装修,有,22.812364000000002,108.428001,3
823,绿地中央广场,4室 2厅 2卫,20836 元/m²,144平方米,2015年,南北,中层(共32层),豪华装修,有,22.83756,108.37951699999999,12
824,南宁市交通局宿舍,4室 2厅 2卫,12625 元/m²,154.5平方米,2000年,南,高层(共6层),简单装修,无,22.82263,108.36114099999999,13
825,文化大院,3室 2厅 2卫,18027 元/m²,91.5平方米,2000年,南,高层(共7层),简单装修,无,22.829226000000002,108.34328700000002,5
826,金菲豪园,3室 2厅 2卫,17274 元/m²,136.6平方米,2014年,南,低层(共7层),毛坯,无,22.812943,108.410779,5
827,苹果园,3室 2厅 2卫,9331 元/m²,93.2平方米,2016年,南北,中层(共32层),精装修,有,22.805763,108.429472,2
828,观澜溪谷,4室 2厅 2卫,8333 元/m²,138平方米,2014年,南,中层(共18层),毛坯,有,22.816399,108.487697,0
829,南湖碧园,4室 2厅 2卫,15263 元/m²,173.6平方米,2010年,南北,高层(共18层),精装修,有,22.831660999999997,108.371141,14
830,金碧花园,3室 2厅 2卫,13750 元/m²,120平方米,2011年,南北,低层(共17层),精装修,有,22.828232,108.390548,11
831,印尼园,3室 2厅 2卫,15385 元/m²,78平方米,2017年,南,中层(共28层),精装修,有,22.812597,108.40774099999999,5
