,village,layout,price,area,year,orientation,floor,trim,elevator,LATB,LNGB,spebuding_num
25,保利领秀前城,5室 2厅 3卫,18449 元/m²,196平方米,2018年,南北,共3层,毛坯,有,22.800504,108.429898,0
26,中国铁建云景山语城,4室 2厅 5卫,16479 元/m²,166.9平方米,2018年,南北,高层(共15层),精装修,有,22.831745,108.414956,4
27,南宁琅东电网生活小区,3室 2厅 2卫,23762 元/m²,101平方米,2000年,南北,中层(共6层),简单装修,无,22.825917999999998,108.38058000000001,11
28,绿海云天,2室 2厅 1卫,17937 元/m²,85.3平方米,2012年,南北,低层(共15层),精装修,有,22.805969,108.399576,3
29,青秀万达公馆,4室 2厅 2卫,19993 元/m²,180.1平方米,2014年,南,高层(共60层),豪华装修,有,22.836349,108.37925600000001,12
30,华凯逸悦豪庭(一期),2室 2厅 1卫,13347 元/m²,86.2平方米,2015年,南,中层(共17层),精装修,有,22.826241,108.429165,3
31,东盟中央城(B区),3室 2厅 2卫,23042 元/m²,85.9平方米,2013年,南,高层(共22层),豪华装修,有,22.80998,108.405201,5
32,滨湖家园,4室 2厅 2卫,30000 元/m²,150平方米,2013年,东南,低层(共28层),简单装修,有,22.826282,108.375596,12
33,青年国际,2室 2厅 1卫,9216 元/m²,51平方米,2004年,南,中层(共15层),精装修,有,22.829857,108.36305800000001,14
34,新竹小区,3室 1厅 1卫,14583 元/m²,76.8平方米,1996年,南北,中层(共6层),精装修,无,22.821497,108.35838600000001,13
35,融创九熙府二期,3室 2厅 2卫,10000 元/m²,93平方米,2019年,南,高层(共29层),精装修,有,22.870734,108.40850400000001,0
36,龙凤首缘,3室 2厅 1卫,11364 元/m²,88平方米,2014年,南,高层(共26层),精装修,有,22.808537,108.44651200000001,0
37,城光俊景,3室 2厅 2卫,17327 元/m²,101平方米,2014年,南,高层(共34层),精装修,有,22.833610999999998,108.423751,4
38,融创九熙府二期,3室 2厅 2卫,9600 元/m²,100平方米,2018年,南,中层(共30层),精装修,有,22.870734,108.40850400000001,0
39,莱茵湖畔,3室 2厅 1卫,16647 元/m²,78.1平方米,2009年,南,中层(共11层),精装修,有,22.815013,108.42233600000002,3
40,万科城(北区),3室 2厅 2卫,12904 元/m²,96.9平方米,2018年,南,中层(共32层),精装修,有,22.851182,108.389131,0
41,凤岭山语城,2室 2厅 2卫,18377 元/m²,73.5平方米,2012年,南,中层(共32层),精装修,有,22.826704,108.420771,3
42,汇东郦城,3室 2厅 1卫,15159 元/m²,85.8平方米,2013年,南,高层(共18层),精装修,有,22.815324,108.424916,3
43,龙胤凤凰城,2室 2厅 1卫,9494 元/m²,79平方米,2012年,南,中层(共11层),精装修,有,22.805381,108.465103,0
44,保利领秀前城,3室 2厅 2卫,12849 元/m²,89.5平方米,2018年,东南,中层(共32层),精装修,有,22.800504,108.429898,0
45,和美家园,4室 2厅 2卫,10104 元/m²,138.6平方米,2006年,南北,低层(共32层),精装修,有,22.799753,108.35838000000001,1
46,天池山,4室 2厅 2卫,8553 元/m²,140.3平方米,2010年,南北,低层(共18层),豪华装修,有,22.816853,108.466943,0
47,新城悦隽江山,3室 2厅 2卫,11640 元/m²,98.8平方米,2018年,南,低层(共30层),精装修,有,22.800728,108.45559899999999,0
48,华发国宾壹号,2室 2厅 1卫,16711 元/m²,76平方米,2017年,南,高层(共28层),精装修,有,22.779951999999998,108.357897,0
49,维也纳森林,8室 2厅 3卫,14461 元/m²,207.5平方米,2008年,南,高层(共11层),豪华装修,有,22.8288,108.39755600000001,2
50,保利童心缘,4室 2厅 2卫,15079 元/m²,126平方米,2013年,南,低层(共30层),精装修,有,22.834833,108.417579,4
51,汇东郦城,4室 2厅 2卫,13301 元/m²,124.8平方米,2010年,南,高层(共30层),毛坯,有,22.815324,108.424916,3
52,半岛康城,3室 2厅 2卫,11654 元/m²,133平方米,2010年,南,高层(共18层),精装修,有,22.784166,108.35645900000002,0
53,华发国宾壹号,4室 2厅 2卫,16187 元/m²,139平方米,2017年,南北,高层(共32层),精装修,有,22.779951999999998,108.357897,0
54,荣和公园大道,4室 2厅 2卫,19904 元/m²,130.6平方米,2016年,南,中层(共39层),精装修,有,22.835281,108.41388899999998,4
55,融创九熙府二期,3室 2厅 2卫,9700 元/m²,100平方米,2019年,南北,中层(共33层),精装修,有,22.870734,108.40850400000001,0
56,润园尚都,3室 2厅 2卫,8120 元/m²,133平方米,2010年,南,高层(共32层),精装修,有,22.807702,108.458703,0
57,万科城(南区),3室 2厅 2卫,15270 元/m²,92.3平方米,2016年,南北,高层(共34层),精装修,有,22.846691,108.387662,0
58,秀山花园,4室 2厅 2卫,9659 元/m²,128.4平方米,2002年,南,低层(共7层),精装修,无,22.799885,108.37316499999999,1
59,香格里拉花园(一期),3室 2厅 1卫,14623 元/m²,106平方米,2005年,南,低层(共18层),精装修,有,22.82996,108.38735600000001,11
60,保利21世家,4室 2厅 2卫,18379 元/m²,125.1平方米,2009年,南北,低层(共16层),简单装修,有,22.810725,108.40108000000001,5
61,公安局南湖分局生活区,3室 2厅 2卫,21739 元/m²,115平方米,1999年,南北,中层(共7层),精装修,无,22.823180999999998,108.382349,12
62,荣和山水美地2组团幸福湾,3室 2厅 2卫,15432 元/m²,81平方米,2017年,南北,中层(共32层),精装修,有,22.822666,108.407634,5
63,保利领秀前城,3室 2厅 2卫,16629 元/m²,89平方米,2015年,南北,中层(共32层),精装修,有,22.800504,108.429898,0
64,保利领秀前城,4室 2厅 2卫,14472 元/m²,123平方米,2019年,南北,中层(共32层),精装修,有,22.800504,108.429898,0
65,半岛康城,3室 2厅 2卫,11053 元/m²,133平方米,2010年,南,低层(共11层),简单装修,有,22.784166,108.35645900000002,0
66,融创九熙府二期,3室 2厅 2卫,9450 元/m²,100平方米,2018年,南北,中层(共30层),精装修,有,22.870734,108.40850400000001,0
67,万科城(北区),4室 2厅 2卫,12957 元/m²,125.8平方米,2018年,南,中层(共38层),精装修,有,22.851182,108.389131,0
68,塞纳维拉花园,3室 2厅 2卫,12006 元/m²,133.3平方米,2009年,南,高层(共7层),精装修,有,22.8241,108.415594,3
69,凯悦国际,4室 2厅 2卫,24951 元/m²,174.3平方米,2009年,南,中层(共11层),精装修,有,22.810188,108.387423,12
