ID,SID,Citys,Titles,Address,REF,TEL,FAX,WWW,Region,RID,RIDS,ACC,MID,XID,LATB,LNGB,Elevation,Zoom,B_E,B_SYNC,B_WEB,adcode,province,city,district,township,poi_lat,poi_lng,poi_name,poi_addr,poi_type
36,"0","南宁市","0","亭洪路地铁站","0","0","0","0","0",0,0,4,2,2,22.8871634080013,109.078531449181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"0","南宁市","0","石柱岭地铁站","0","0","0","0","0",0,0,4,2,2,22.7900288270957,108.312894344631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"0","南宁市","0","江南客运站地铁站","0","0","0","0","0",0,0,4,2,2,22.7699762763093,108.317543075643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"0","南宁市","0","大沙田地铁站","0","0","0","0","0",0,0,4,2,2,22.6518658943407,109.391947007609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"0","南宁市","0","建设路地铁站","0","0","0","0","0",0,0,4,2,2,23.2227852934576,108.810883452454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"0","南宁市","0","石子塘地铁站","0","0","0","0","0",0,0,4,2,2,22.7479410002717,108.330363961369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"0","南宁市","0","金象地铁站","0","0","0","0","0",0,0,4,2,2,22.8226066011872,108.373450825819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"0","南宁市","0","玉洞地铁站","0","0","0","0","0",0,0,4,2,2,22.7202302744012,108.337956709028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"0","南宁市","0","科园大道站地铁站","0","0","0","0","0",0,0,4,2,2,22.8602015463467,108.278272031541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"0","南宁市","0","创业路站地铁站","0","0","0","0","0",0,0,4,2,2,22.8821671188808,108.29072162065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
