,Address,LATB,LNGB
0,石埠地铁站,22.8112939324368,108.269309100284
1,南职院地铁站,22.8365243147511,108.197514188356
2,鹏飞路地铁站,22.8341417017271,108.20856747833
3,西乡塘客运站地铁站,22.837563001729198,108.224508628244
4,民族大学地铁站,22.8421100147713,108.203536877646
5,清川地铁站,22.8226066011872,108.37345082581899
6,动物园地铁站,22.841025983115898,108.275072987756
7,鲁班路地铁站,22.843888342989203,108.29047313856701
8,广西大学地铁站,22.850983941153803,108.29702955068501
9,白苍岭地铁站,22.834580980985198,108.31258936990999
10,火车站地铁站,22.8295043491322,108.32037687020399
11,朝阳广场地铁站,22.8249888878409,108.32764865330499
12,新民路地铁站,23.437097145682802,108.611802081331
13,民族广场地铁站,22.8198383589472,108.338747487369
14,麻村地铁站,22.818994908584102,108.357450836894
15,南湖地铁站,30.751546813315397,120.789610051755
16,金湖广场地铁站,22.820545727244802,108.37679557655301
17,会展中心地铁站,22.8151979007695,108.386522787934
18,万象城地铁站,22.815108206377,108.397215228586
19,东盟商务区地铁站,22.807945953761,108.403208543285
20,凤岭地铁站,22.8181679423453,108.4165216106
21,琅东客运站地铁站,22.8179229328428,108.418929698179
22,百花岭地铁站,22.8242554774852,108.421459775647
23,佛子岭地铁站,22.7721314789048,109.448432997041
24,火车东站地铁站,22.847737946174398,108.42079520923099
25,西津地铁站,22.8226066011872,108.37345082581899
26,安吉客运站地铁站,22.8844550120152,108.305817044672
27,苏卢地铁站,22.876151021242,108.30598700407499
28,三十三中地铁站,22.8639014516985,108.310716852075
29,秀厢地铁站,22.8226066011872,108.37345082581899
30,明秀路地铁站,22.862976690629395,108.340987591818
31,南宁剧场地铁站,22.812328983108102,108.321585270776
32,福建园地铁站,22.801546093320603,108.321656865725
33,亭洪路地铁站,22.8871634080013,109.078531449181
34,石柱岭地铁站,22.7900288270957,108.312894344631
35,江南客运站地铁站,22.7699762763093,108.317543075643
36,大沙田地铁站,22.651865894340702,109.391947007609
37,建设路地铁站,23.222785293457605,108.810883452454
38,石子塘地铁站,22.747941000271698,108.330363961369
39,金象地铁站,22.8226066011872,108.37345082581899
40,玉洞地铁站,22.720230274401196,108.33795670902799
41,科园大道站地铁站,22.860201546346698,108.27827203154101
42,创业路站地铁站,22.8821671188808,108.29072162065
43,北湖北路站地铁站,22.868727564763397,108.325893305051
44,秀峰路站地铁站,22.8680529040872,108.335551493331
45,邕武路站地铁站,22.885228561306,108.349250909269
46,大鸡村站地铁站,22.8226066011872,108.37345082581899
47,兴桂路站地铁站,22.8694486846445,108.37234186587
48,小鸡村站地铁站,22.8226066011872,108.37345082581899
49,东沟岭站地铁站,22.8577476913976,108.353483111288
50,长堽路站地铁站,22.843578887202302,108.36670967088399
51,东葛路站地铁站,22.8335214852907,108.362242435313
52,滨湖路站地铁站,22.8219830382918,108.36975668634199
53,金湖广场站地铁站,22.820545727244802,108.37679557655301
54,埌西站地铁站,22.894263677416,107.98122836231501
55,青竹立交站地铁站,22.803254323191,108.366508176467
56,青秀山站地铁站,22.8363047355967,108.358384086488
57,市博物馆站地铁站,22.8226066011872,108.37345082581899
58,总部基地站地铁站,22.764006843576198,108.385886697803
59,广西规划馆站地铁站,22.760942378906396,108.38084055643299
60,庆歌路站地铁站,22.7565213020823,108.395696941359
61,五象湖站地铁站,22.7482845414498,108.384171922416
62,平良立交站地铁站,23.2334486196762,108.13100221113001
